#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_1_desc;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_1;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_2;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_3;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_4;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_5;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_6;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_7;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_warrior_caste_8;Warrior caste;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_dwarf_thaig_wall_1_desc;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_1;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_2;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_3;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_4;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_5;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_6;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_7;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_thaig_wall_8;Thaig wall;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_dwarf_mine_1_desc;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_1;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_2;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_3;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_4;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_5;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_6;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_7;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_mine_8;Mine;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_dwarf_blacksmith_1_desc;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_1;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_2;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_3;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_4;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_5;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_6;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_7;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_blacksmith_8;Smith;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

ca_dwarf_proving_ground_1_desc;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_proving_ground_1;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_proving_ground_2;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_proving_ground_3;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_proving_ground_4;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_proving_ground_5;Proving ground;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
